name,slug, Btu/person,date_of_information,ranking,region
"Qatar","qatar","814,308,000","2023",1,"Middle East"
"Singapore","singapore","643,259,000","2023",2,"East and Southeast Asia"
"Bahrain","bahrain","554,202,000","2023",3,"Middle East"
"United Arab Emirates","united-arab-emirates","450,432,000","2023",4,"Middle East"
"Brunei","brunei","403,365,000","2023",5,"East and Southeast Asia"
"Kuwait","kuwait","389,848,000","2023",6,"Middle East"
"Saudi Arabia","saudi-arabia","349,692,000","2023",7,"Middle East"
"Canada","canada","311,599,000","2023",8,"North America"
"Oman","oman","296,586,000","2023",9,"Middle East"
"United States","united-states","278,474,000","2023",10,"North America"
"Turkmenistan","turkmenistan","261,142,000","2023",11,"Central Asia"
"Malta","malta","234,698,000","2023",12,"Europe"
"Korea, South","korea-south","234,668,000","2023",13,"East and Southeast Asia"
"Russia","russia","224,858,000","2023",14,"Central Asia"
"Luxembourg","luxembourg","224,651,000","2023",15,"Europe"
"Australia","australia","223,158,000","2023",16,"Australia and Oceania"
"Norway","norway","206,961,000","2023",17,"Europe"
"Taiwan","taiwan","206,102,000","2023",18,"East and Southeast Asia"
"Belgium","belgium","190,416,000","2023",19,"Europe"
"Netherlands","netherlands","185,536,000","2023",20,"Europe"
"Finland","finland","183,540,000","2023",21,"Europe"
"Kazakhstan","kazakhstan","172,936,000","2023",22,"Central Asia"
"Iran","iran","160,779,000","2023",23,"Middle East"
"Aruba","aruba","153,952,000","2023",24,"Central America and the Caribbean"
"Guam","guam","150,555,000","2019",25,"Australia and Oceania"
"Cayman Islands","cayman-islands","143,149,000","2023",26,"Central America and the Caribbean"
"Sweden","sweden","142,102,000","2023",27,"Europe"
"Czechia","czechia","136,306,000","2023",28,"Europe"
"Japan","japan","129,504,000","2023",29,"East and Southeast Asia"
"Slovakia","slovakia","127,582,000","2023",30,"Europe"
"France","france","123,526,000","2023",31,"Europe"
"Bermuda","bermuda","122,737,000","2023",32,"North America"
"New Zealand","new-zealand","121,647,000","2023",33,"Australia and Oceania"
"Germany","germany","120,457,000","2023",34,"Europe"
"Austria","austria","120,211,000","2023",35,"Europe"
"Hong Kong","hong-kong","116,811,000","2023",36,"East and Southeast Asia"
"Ireland","ireland","113,837,000","2023",37,"Europe"
"China","china","113,805,000","2023",38,"East and Southeast Asia"
"Malaysia","malaysia","113,163,000","2023",39,"East and Southeast Asia"
"Israel","israel","112,437,000","2023",40,"Middle East"
"Antigua and Barbuda","antigua-and-barbuda","110,114,000","2023",41,"Central America and the Caribbean"
"Cyprus","cyprus","107,188,000","2023",42,"Europe"
"Belarus","belarus","104,821,000","2023",43,"Europe"
"Slovenia","slovenia","104,502,000","2023",44,"Europe"
"Bahamas, The","bahamas-the","104,409,000","2023",45,"Central America and the Caribbean"
"Poland","poland","103,651,000","2023",46,"Europe"
"Bulgaria","bulgaria","102,171,000","2023",47,"Europe"
"Spain","spain","101,120,000","2023",48,"Europe"
"Libya","libya","100,844,000","2023",49,"Africa"
"Switzerland","switzerland","99,578,000","2023",50,"Europe"
"Seychelles","seychelles","98,847,000","2023",51,"Africa"
"Denmark","denmark","98,513,000","2023",52,"Europe"
"Italy","italy","96,797,000","2023",53,"Europe"
"Hungary","hungary","96,152,000","2023",54,"Europe"
"United Kingdom","united-kingdom","94,280,000","2023",55,"Europe"
"Greece","greece","92,693,000","2023",56,"Europe"
"Serbia","serbia","91,884,000","2023",57,"Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","91,227,000","2023",58,"Europe"
"American Samoa","american-samoa","89,105,000","2019",59,"Australia and Oceania"
"Puerto Rico","puerto-rico","86,286,000","2023",60,"Central America and the Caribbean"
"South Africa","south-africa","86,197,000","2023",61,"Africa"
"Lithuania","lithuania","83,700,000","2023",62,"Europe"
"Saint Kitts and Nevis","saint-kitts-and-nevis","81,454,000","2023",63,"Central America and the Caribbean"
"Thailand","thailand","80,602,000","2023",64,"East and Southeast Asia"
"Croatia","croatia","79,907,000","2023",65,"Europe"
"Argentina","argentina","78,496,000","2023",66,"South America"
"Panama","panama","78,010,000","2023",67,"Central America and the Caribbean"
"Estonia","estonia","73,679,000","2023",68,"Europe"
"Portugal","portugal","73,285,000","2023",69,"Europe"
"Chile","chile","71,420,000","2023",70,"South America"
"Turkey (Turkiye)","turkey-turkiye","70,521,000","2023",71,"Middle East"
"Barbados","barbados","68,293,000","2023",72,"Central America and the Caribbean"
"Mongolia","mongolia","67,132,000","2023",73,"East and Southeast Asia"
"British Virgin Islands","british-virgin-islands","66,998,000","2023",74,"Central America and the Caribbean"
"Azerbaijan","azerbaijan","66,467,000","2023",75,"Central Asia"
"Latvia","latvia","65,908,000","2023",76,"Europe"
"Macau","macau","64,641,000","2023",77,"East and Southeast Asia"
"Iraq","iraq","64,311,000","2023",78,"Middle East"
"Bhutan","bhutan","64,082,000","2023",79,"South Asia"
"Montenegro","montenegro","63,407,000","2023",80,"Europe"
"Algeria","algeria","61,843,000","2023",81,"Africa"
"Suriname","suriname","60,896,000","2023",82,"South America"
"Mauritius","mauritius","60,188,000","2023",83,"Africa"
"Romania","romania","59,377,000","2023",84,"Europe"
"Ukraine","ukraine","57,856,000","2023",85,"Europe"
"Mexico","mexico","57,539,000","2023",86,"North America"
"North Macedonia","north-macedonia","56,104,000","2023",87,"Europe"
"Georgia","georgia","56,076,000","2023",88,"Central Asia"
"Uzbekistan","uzbekistan","55,305,000","2023",89,"Central Asia"
"Armenia","armenia","54,689,000","2023",90,"Central Asia"
"Equatorial Guinea","equatorial-guinea","54,509,000","2023",91,"Africa"
"Venezuela","venezuela","54,474,000","2023",92,"South America"
"Kosovo","kosovo","52,085,000","2023",93,"Europe"
"Maldives","maldives","50,886,000","2023",94,"South Asia"
"Brazil","brazil","48,889,000","2023",95,"South America"
"Saint Lucia","saint-lucia","47,522,000","2023",96,"Central America and the Caribbean"
"Guyana","guyana","46,045,000","2023",97,"South America"
"Uruguay","uruguay","45,755,000","2023",98,"South America"
"Lebanon","lebanon","43,105,000","2023",99,"Middle East"
"Jamaica","jamaica","42,095,000","2023",100,"Central America and the Caribbean"
"Grenada","grenada","41,703,000","2023",101,"Central America and the Caribbean"
"Vietnam","vietnam","40,263,000","2023",102,"East and Southeast Asia"
"Dominican Republic","dominican-republic","39,329,000","2023",103,"Central America and the Caribbean"
"Indonesia","indonesia","37,390,000","2023",104,"East and Southeast Asia"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","37,253,000","2023",105,"Central America and the Caribbean"
"Dominica","dominica","36,395,000","2023",106,"Central America and the Caribbean"
"Ecuador","ecuador","35,700,000","2023",107,"South America"
"Moldova","moldova","35,686,000","2023",108,"Europe"
"Egypt","egypt","34,975,000","2023",109,"Africa"
"Laos","laos","34,463,000","2023",110,"East and Southeast Asia"
"Tunisia","tunisia","33,754,000","2023",111,"Africa"
"Jordan","jordan","32,909,000","2023",112,"Middle East"
"Botswana","botswana","32,443,000","2023",113,"Africa"
"Peru","peru","30,923,000","2023",114,"South America"
"Belize","belize","30,752,000","2023",115,"Central America and the Caribbean"
"Costa Rica","costa-rica","30,725,000","2023",116,"Central America and the Caribbean"
"Bolivia","bolivia","29,340,000","2023",117,"South America"
"Colombia","colombia","29,305,000","2023",118,"South America"
"Kyrgyzstan","kyrgyzstan","27,580,000","2023",119,"Central Asia"
"Albania","albania","27,407,000","2023",120,"Europe"
"Cuba","cuba","26,070,000","2023",121,"Central America and the Caribbean"
"Paraguay","paraguay","25,733,000","2023",122,"South America"
"Fiji","fiji","25,375,000","2023",123,"Australia and Oceania"
"India","india","25,179,000","2023",124,"South Asia"
"El Salvador","el-salvador","24,421,000","2023",125,"Central America and the Caribbean"
"Korea, North","korea-north","23,830,000","2023",126,"East and Southeast Asia"
"Morocco","morocco","23,520,000","2023",127,"Africa"
"Samoa","samoa","23,476,000","2023",128,"Australia and Oceania"
"Tonga","tonga","23,272,000","2023",129,"Australia and Oceania"
"Gabon","gabon","22,101,000","2023",130,"Africa"
"Namibia","namibia","21,734,000","2023",131,"Africa"
"Cabo Verde","cabo-verde","19,999,000","2023",132,"Africa"
"Eswatini","eswatini","18,823,000","2023",133,"Africa"
"Philippines","philippines","17,654,000","2023",134,"East and Southeast Asia"
"Guatemala","guatemala","17,096,000","2023",135,"Central America and the Caribbean"
"Honduras","honduras","16,642,000","2023",136,"Central America and the Caribbean"
"Tajikistan","tajikistan","16,192,000","2023",137,"Central Asia"
"Cambodia","cambodia","15,664,000","2023",138,"East and Southeast Asia"
"Gaza Strip","gaza-strip","14,991,000","2023",139,"Middle East"
"West Bank","west-bank","14,991,000","2023",140,"Middle East"
"Mauritania","mauritania","14,135,000","2023",141,"Africa"
"Pakistan","pakistan","14,076,000","2023",142,"South Asia"
"Syria","syria","13,569,000","2023",143,"Middle East"
"Vanuatu","vanuatu","12,934,000","2023",144,"Australia and Oceania"
"Sri Lanka","sri-lanka","12,372,000","2023",145,"South Asia"
"Bangladesh","bangladesh","11,472,000","2023",146,"South Asia"
"Zimbabwe","zimbabwe","10,855,000","2023",147,"Africa"
"Nicaragua","nicaragua","10,660,000","2023",148,"Central America and the Caribbean"
"Ghana","ghana","10,493,000","2023",149,"Africa"
"Djibouti","djibouti","10,428,000","2023",150,"Africa"
"Angola","angola","9,146,000","2023",151,"Africa"
"Sao Tome and Principe","sao-tome-and-principe","8,875,000","2023",152,"Africa"
"Papua New Guinea","papua-new-guinea","8,781,000","2023",153,"East and Southeast Asia"
"Kiribati","kiribati","8,578,000","2023",154,"Australia and Oceania"
"Cote d'Ivoire","cote-divoire","8,489,000","2023",155,"Africa"
"Burma","burma","8,384,000","2023",156,"East and Southeast Asia"
"Senegal","senegal","8,303,000","2023",157,"Africa"
"Zambia","zambia","8,265,000","2023",158,"Africa"
"Lesotho","lesotho","8,117,000","2023",159,"Africa"
"Nigeria","nigeria","7,993,000","2023",160,"Africa"
"Congo, Republic of the","congo-republic-of-the","7,351,000","2023",161,"Africa"
"Comoros","comoros","7,139,000","2023",162,"Africa"
"Timor-Leste","timor-leste","6,825,000","2023",163,"East and Southeast Asia"
"Nepal","nepal","6,604,000","2023",164,"South Asia"
"Benin","benin","6,472,000","2023",165,"Africa"
"Sudan","sudan","6,145,000","2023",166,"Africa"
"Mozambique","mozambique","5,789,000","2023",167,"Africa"
"Solomon Islands","solomon-islands","5,655,000","2023",168,"Australia and Oceania"
"Kenya","kenya","5,486,000","2023",169,"Africa"
"Guinea","guinea","5,235,000","2023",170,"Africa"
"Togo","togo","4,538,000","2023",171,"Africa"
"Mali","mali","4,307,000","2023",172,"Africa"
"Cameroon","cameroon","4,271,000","2023",173,"Africa"
"Tanzania","tanzania","4,091,000","2023",174,"Africa"
"Haiti","haiti","3,486,000","2023",175,"Central America and the Caribbean"
"Burkina Faso","burkina-faso","3,481,000","2023",176,"Africa"
"Afghanistan","afghanistan","3,380,000","2023",177,"South Asia"
"Yemen","yemen","2,987,000","2023",178,"Middle East"
"Eritrea","eritrea","2,977,000","2023",179,"Africa"
"Gambia, The","gambia-the","2,731,000","2023",180,"Africa"
"Ethiopia","ethiopia","2,366,000","2023",181,"Africa"
"Guinea-Bissau","guinea-bissau","2,351,000","2023",182,"Africa"
"Sierra Leone","sierra-leone","2,301,000","2023",183,"Africa"
"Uganda","uganda","2,252,000","2023",184,"Africa"
"South Sudan","south-sudan","2,092,000","2023",185,"Africa"
"Liberia","liberia","1,822,000","2023",186,"Africa"
"Madagascar","madagascar","1,816,000","2023",187,"Africa"
"Rwanda","rwanda","1,808,000","2023",188,"Africa"
"Malawi","malawi","1,792,000","2023",189,"Africa"
"Niger","niger","1,772,000","2023",190,"Africa"
"Chad","chad","1,502,000","2023",191,"Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","1,305,000","2023",192,"Africa"
"Central African Republic","central-african-republic","954,000","2023",193,"Africa"
"Burundi","burundi","946,000","2023",194,"Africa"
"Somalia","somalia","649,000","2023",195,"Africa"