name,slug,value,date_of_information,ranking,region
"China","china","$3,265,000,000,000","2024",1,"East and Southeast Asia"
"Japan","japan","$1,160,000,000,000","2024",2,"East and Southeast Asia"
"Switzerland","switzerland","$822,130,000,000","2024",3,"Europe"
"Russia","russia","$597,217,000,000","2023",4,"Central Asia"
"India","india","$569,544,000,000","2024",5,"South Asia"
"Taiwan","taiwan","$456,700,000,000","2017",6,"East and Southeast Asia"
"Saudi Arabia","saudi-arabia","$436,769,000,000","2024",7,"Middle East"
"Hong Kong","hong-kong","$425,554,000,000","2023",8,"East and Southeast Asia"
"Korea, South","korea-south","$409,457,000,000","2024",9,"East and Southeast Asia"
"Singapore","singapore","$365,494,000,000","2024",10,"East and Southeast Asia"
"Brazil","brazil","$318,857,000,000","2024",11,"South America"
"United Arab Emirates","united-arab-emirates","$231,690,000,000","2024",12,"Middle East"
"United States","united-states","$227,760,000,000","2024",13,"North America"
"Mexico","mexico","$221,944,000,000","2024",14,"North America"
"Thailand","thailand","$217,261,000,000","2024",15,"East and Southeast Asia"
"Israel","israel","$214,544,000,000","2024",16,"Middle East"
"Poland","poland","$185,515,000,000","2024",17,"Europe"
"Indonesia","indonesia","$149,118,000,000","2024",18,"East and Southeast Asia"
"United Kingdom","united-kingdom","$148,569,000,000","2024",19,"Europe"
"Czechia","czechia","$141,988,000,000","2024",20,"Europe"
"Iran","iran","$120,600,000,000","2017",21,"Middle East"
"Canada","canada","$117,551,000,000","2023",22,"North America"
"Malaysia","malaysia","$112,968,000,000","2024",23,"East and Southeast Asia"
"Denmark","denmark","$103,239,000,000","2024",24,"Europe"
"Germany","germany","$96,792,000,000","2024",25,"Europe"
"Philippines","philippines","$95,251,000,000","2024",26,"East and Southeast Asia"
"Vietnam","vietnam","$92,238,000,000","2023",27,"East and Southeast Asia"
"Turkey (Turkiye)","turkey-turkiye","$90,859,000,000","2024",28,"Middle East"
"Iraq","iraq","$87,048,000,000","2024",29,"Middle East"
"Italy","italy","$84,875,000,000","2024",30,"Europe"
"Spain","spain","$84,154,000,000","2024",31,"Europe"
"Norway","norway","$81,242,000,000","2024",32,"Europe"
"Libya","libya","$80,592,000,000","2024",33,"Africa"
"France","france","$78,429,000,000","2024",34,"Europe"
"Peru","peru","$76,338,000,000","2024",35,"South America"
"Algeria","algeria","$68,448,000,000","2024",36,"Africa"
"Romania","romania","$64,699,000,000","2024",37,"Europe"
"Colombia","colombia","$61,506,000,000","2024",38,"South America"
"South Africa","south-africa","$54,912,000,000","2024",39,"Africa"
"Australia","australia","$54,455,000,000","2024",40,"Australia and Oceania"
"Sweden","sweden","$52,023,000,000","2024",41,"Europe"
"Qatar","qatar","$44,692,000,000","2024",42,"Middle East"
"Chile","chile","$44,382,000,000","2024",43,"South America"
"Kuwait","kuwait","$44,104,000,000","2024",44,"Middle East"
"Ukraine","ukraine","$41,485,000,000","2024",45,"Europe"
"Bulgaria","bulgaria","$40,270,000,000","2024",46,"Europe"
"Nigeria","nigeria","$38,612,000,000","2024",47,"Africa"
"Hungary","hungary","$37,194,000,000","2024",48,"Europe"
"Morocco","morocco","$35,269,000,000","2024",49,"Africa"
"Egypt","egypt","$34,278,000,000","2024",50,"Africa"
"Macau","macau","$29,392,000,000","2024",51,"East and Southeast Asia"
"Netherlands","netherlands","$27,753,000,000","2024",52,"Europe"
"Serbia","serbia","$26,445,000,000","2024",53,"Europe"
"Turkmenistan","turkmenistan","$24,910,000,000","2017",54,"Central Asia"
"Argentina","argentina","$24,381,000,000","2024",55,"South America"
"Guatemala","guatemala","$23,834,000,000","2024",56,"Central America and the Caribbean"
"Belgium","belgium","$22,374,000,000","2024",57,"Europe"
"New Zealand","new-zealand","$22,065,000,000","2024",58,"Australia and Oceania"
"Kazakhstan","kazakhstan","$21,980,000,000","2024",59,"Central Asia"
"Bangladesh","bangladesh","$20,225,000,000","2024",60,"South Asia"
"Cambodia","cambodia","$18,608,000,000","2024",61,"East and Southeast Asia"
"Uruguay","uruguay","$17,369,000,000","2024",62,"South America"
"Oman","oman","$17,298,000,000","2023",63,"Middle East"
"Jordan","jordan","$15,929,000,000","2024",64,"Middle East"
"Finland","finland","$14,322,000,000","2024",65,"Europe"
"Angola","angola","$14,243,000,000","2024",66,"Africa"
"Costa Rica","costa-rica","$14,177,000,000","2024",67,"Central America and the Caribbean"
"Dominican Republic","dominican-republic","$13,424,000,000","2024",68,"Central America and the Caribbean"
"Pakistan","pakistan","$12,977,000,000","2024",69,"South Asia"
"Azerbaijan","azerbaijan","$12,699,000,000","2024",70,"Central Asia"
"Nepal","nepal","$12,456,000,000","2023",71,"South Asia"
"Austria","austria","$11,919,000,000","2024",72,"Europe"
"Slovakia","slovakia","$11,793,000,000","2024",73,"Europe"
"Ireland","ireland","$11,688,000,000","2024",74,"Europe"
"Cuba","cuba","$11,350,000,000","2017",75,"Central America and the Caribbean"
"Portugal","portugal","$10,332,000,000","2024",76,"Europe"
"Kenya","kenya","$10,065,000,000","2024",77,"Africa"
"Paraguay","paraguay","$9,886,000,000","2023",78,"South America"
"Venezuela","venezuela","$9,794,000,000","2017",79,"South America"
"Afghanistan","afghanistan","$9,749,000,000","2020",80,"South Asia"
"Burma","burma","$9,338,000,000","2023",81,"East and Southeast Asia"
"Lebanon","lebanon","$9,240,000,000","2024",82,"Middle East"
"Uzbekistan","uzbekistan","$9,145,000,000","2024",83,"Central Asia"
"Bosnia and Herzegovina","bosnia-and-herzegovina","$9,127,000,000","2024",84,"Europe"
"Tunisia","tunisia","$8,770,000,000","2024",85,"Africa"
"Honduras","honduras","$7,543,000,000","2023",86,"Central America and the Caribbean"
"Mauritius","mauritius","$7,465,000,000","2024",87,"Africa"
"Lithuania","lithuania","$6,920,000,000","2024",88,"Europe"
"Panama","panama","$6,856,000,000","2024",89,"Central America and the Caribbean"
"Albania","albania","$6,455,000,000","2023",90,"Europe"
"Cote d'Ivoire","cote-divoire","$6,257,000,000","2017",91,"Africa"
"Iceland","iceland","$6,236,000,000","2024",92,"Europe"
"Nicaragua","nicaragua","$6,105,000,000","2024",93,"Central America and the Caribbean"
"Sri Lanka","sri-lanka","$6,055,000,000","2024",94,"South Asia"
"Greece","greece","$5,610,000,000","2024",95,"Europe"
"Moldova","moldova","$5,477,000,000","2024",96,"Europe"
"Trinidad and Tobago","trinidad-and-tobago","$5,438,000,000","2024",97,"Central America and the Caribbean"
"Bahrain","bahrain","$5,118,000,000","2023",98,"Middle East"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","$5,104,000,000","2023",99,"Africa"
"Tanzania","tanzania","$5,050,000,000","2018",100,"Africa"
"Mongolia","mongolia","$4,891,000,000","2024",101,"East and Southeast Asia"
"Cameroon","cameroon","$4,882,000,000","2023",102,"Africa"
"Jamaica","jamaica","$4,869,000,000","2023",103,"Central America and the Caribbean"
"Botswana","botswana","$4,756,000,000","2023",104,"Africa"
"Ecuador","ecuador","$4,703,000,000","2024",105,"South America"
"North Macedonia","north-macedonia","$4,674,000,000","2024",106,"Europe"
"Latvia","latvia","$4,591,000,000","2024",107,"Europe"
"Belarus","belarus","$4,392,000,000","2024",108,"Europe"
"Brunei","brunei","$4,032,000,000","2024",109,"East and Southeast Asia"
"Papua New Guinea","papua-new-guinea","$3,901,000,000","2023",110,"East and Southeast Asia"
"Georgia","georgia","$3,848,000,000","2024",111,"Central Asia"
"Ethiopia","ethiopia","$3,784,000,000","2024",112,"Africa"
"Armenia","armenia","$3,684,000,000","2024",113,"Central Asia"
"Ghana","ghana","$3,624,000,000","2023",114,"Africa"
"El Salvador","el-salvador","$3,590,000,000","2024",115,"Central America and the Caribbean"
"Mozambique","mozambique","$3,513,000,000","2024",116,"Africa"
"Uganda","uganda","$3,359,000,000","2018",117,"Africa"
"Namibia","namibia","$3,356,000,000","2024",118,"Africa"
"Croatia","croatia","$3,336,000,000","2024",119,"Europe"
"Tajikistan","tajikistan","$3,304,000,000","2023",120,"Central Asia"
"Kyrgyzstan","kyrgyzstan","$3,237,000,000","2023",121,"Central Asia"
"Zambia","zambia","$3,173,000,000","2023",122,"Africa"
"Madagascar","madagascar","$2,785,000,000","2024",123,"Africa"
"Luxembourg","luxembourg","$2,602,000,000","2024",124,"Europe"
"Haiti","haiti","$2,566,000,000","2024",125,"Central America and the Caribbean"
"Slovenia","slovenia","$2,566,000,000","2024",126,"Europe"
"Bahamas, The","bahamas-the","$2,512,000,000","2023",127,"Central America and the Caribbean"
"Rwanda","rwanda","$2,406,000,000","2024",128,"Africa"
"Estonia","estonia","$2,054,000,000","2024",129,"Europe"
"Mauritania","mauritania","$2,039,000,000","2021",130,"Africa"
"Guinea","guinea","$1,887,000,000","2023",131,"Africa"
"Senegal","senegal","$1,827,000,000","2017",132,"Africa"
"Laos","laos","$1,770,000,000","2023",133,"East and Southeast Asia"
"Montenegro","montenegro","$1,741,000,000","2024",134,"Europe"
"Barbados","barbados","$1,606,000,000","2023",135,"Central America and the Caribbean"
"Fiji","fiji","$1,597,000,000","2024",136,"Australia and Oceania"
"Equatorial Guinea","equatorial-guinea","$1,538,000,000","2023",137,"Africa"
"Suriname","suriname","$1,530,000,000","2024",138,"South America"
"Aruba","aruba","$1,468,000,000","2023",139,"Central America and the Caribbean"
"Gabon","gabon","$1,447,000,000","2023",140,"Africa"
"Malta","malta","$1,402,000,000","2024",141,"Europe"
"West Bank","west-bank","$1,328,000,000","2024",142,"Middle East"
"Gaza Strip","gaza-strip","$1,328,000,000","2024",143,"Middle East"
"Niger","niger","$1,314,000,000","2017",144,"Africa"
"Kosovo","kosovo","$1,310,000,000","2024",145,"Europe"
"Yemen","yemen","$1,251,000,000","2022",146,"Middle East"
"Chad","chad","$1,050,000,000","2023",147,"Africa"
"Guyana","guyana","$1,010,000,000","2024",148,"South America"
"Bhutan","bhutan","$928,229,000","2024",149,"South Asia"
"Cyprus","cyprus","$921,269,000","2024",150,"Europe"
"Lesotho","lesotho","$854,089,000","2023",151,"Africa"
"San Marino","san-marino","$836,088,000","2023",152,"Europe"
"Cabo Verde","cabo-verde","$783,106,000","2024",153,"Africa"
"Timor-Leste","timor-leste","$781,995,000","2023",154,"East and Southeast Asia"
"Seychelles","seychelles","$773,678,000","2024",155,"Africa"
"Congo, Republic of the","congo-republic-of-the","$715,391,000","2023",156,"Africa"
"Benin","benin","$698,900,000","2017",157,"Africa"
"Solomon Islands","solomon-islands","$688,220,000","2023",158,"Australia and Oceania"
"Maldives","maldives","$673,203,000","2024",159,"South Asia"
"Mali","mali","$647,800,000","2017",160,"Africa"
"Vanuatu","vanuatu","$643,768,000","2023",161,"Australia and Oceania"
"Liberia","liberia","$599,660,000","2022",162,"Africa"
"Malawi","malawi","$594,498,000","2020",163,"Africa"
"Palau","palau","$580,900,000","2015",164,"Australia and Oceania"
"Gambia, The","gambia-the","$577,028,000","2023",165,"Africa"
"Samoa","samoa","$507,740,000","2024",166,"Australia and Oceania"
"Belize","belize","$498,087,000","2024",167,"Central America and the Caribbean"
"Micronesia, Federated States of","micronesia-federated-states-of","$497,434,000","2021",168,"Australia and Oceania"
"Sierra Leone","sierra-leone","$495,699,000","2023",169,"Africa"
"Central African Republic","central-african-republic","$479,593,000","2023",170,"Africa"
"Eswatini","eswatini","$479,261,000","2023",171,"Africa"
"Grenada","grenada","$423,263,000","2024",172,"Central America and the Caribbean"
"Syria","syria","$407,300,000","2017",173,"Middle East"
"Saint Lucia","saint-lucia","$406,064,000","2024",174,"Central America and the Caribbean"
"Tonga","tonga","$396,530,000","2023",175,"Australia and Oceania"
"Antigua and Barbuda","antigua-and-barbuda","$358,441,000","2024",176,"Central America and the Caribbean"
"Guinea-Bissau","guinea-bissau","$356,400,000","2017",177,"Africa"
"Djibouti","djibouti","$348,725,000","2024",178,"Africa"
"Comoros","comoros","$322,436,000","2024",179,"Africa"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","$316,824,000","2024",180,"Central America and the Caribbean"
"Saint Kitts and Nevis","saint-kitts-and-nevis","$294,748,000","2024",181,"Central America and the Caribbean"
"Zimbabwe","zimbabwe","$261,373,000","2024",182,"Africa"
"Cayman Islands","cayman-islands","$234,000,000","2023",183,"Central America and the Caribbean"
"Eritrea","eritrea","$191,694,000","2019",184,"Africa"
"Sudan","sudan","$177,934,000","2017",185,"Africa"
"Dominica","dominica","$155,971,000","2024",186,"Central America and the Caribbean"
"Burundi","burundi","$90,350,000","2023",187,"Africa"
"Bolivia","bolivia","$87,100,000","2024",188,"South America"
"Togo","togo","$77,800,000","2017",189,"Africa"
"Anguilla","anguilla","$76,380,000","2017",190,"Central America and the Caribbean"
"South Sudan","south-sudan","$72,881,000","2023",191,"Africa"
"Burkina Faso","burkina-faso","$49,000,000","2017",192,"Africa"
"Montserrat","montserrat","$47,580,000","2017",193,"Central America and the Caribbean"
"Sao Tome and Principe","sao-tome-and-principe","$46,247,000","2023",194,"Africa"
"Somalia","somalia","$30,450,000","2014",195,"Africa"